BioSample,Sample,Run,ISOLATION_LOCATION,DB_OF_ORIGIN,TESTING_LOCATION,STUDY_NAME,STUDY_PMID,MEDIA,INH,RIF,RFB,EMB,STM,ETH,CIP,CYS,CAP,KAN,OFX,PAS,PZA,AMI,MXF,PRO,CFZ,LEV,CLAR,GATI,AMOXCLAV,LZD,Platform,TaxID,ScientificName,LoadDate,ReleaseDate,Combined_Runs,Num_Runs,TDR_Sample
SAMEA3558127,ERS865276,ERR1227530,,PATRIC_20191206,ITM,Phelan 2016 BMC Med,27005572.0,LJ,0.05-0.2,<10,,2-4,1-2,,,,,,,,,,,,,,,,,,ILLUMINA,1773.0,Mycobacterium tuberculosis,2016-03-28 08:34:10,2016-03-28 08:27:18,"ERR1034594,ERR1213842,ERR1227530",3,nan
SAMEA3558128,ERS865277,ERR1227531,,PATRIC_20191206,ITM,Phelan 2016 BMC Med,27005572.0,LJ,>3.2,<10,,2-4,4-8,,,,,,,,,,,,,,,,,,ILLUMINA,1773.0,Mycobacterium tuberculosis,2016-03-28 08:34:18,2016-03-28 08:27:18,"ERR1227531,ERR1213843,ERR1034595",3,nan
SAMEA3558128,ERS865277,ERR1213843,,PATRIC_20191206,ITM,Phelan 2016 BMC Med,27005572.0,LJ,>3.2,<10,,2-4,4-8,,,,,,,,,,,,,,,,,,ILLUMINA,1773.0,Mycobacterium tuberculosis,2016-01-20 07:25:28,2016-01-20 05:34:31,"ERR1227531,ERR1213843,ERR1034595",3,nan
SAMEA3558128,ERS865277,ERR1034595,,PATRIC_20191206,ITM,Phelan 2016 BMC Med,27005572.0,LJ,>3.2,<10,,2-4,4-8,,,,,,,,,,,,,,,,,,ILLUMINA,1773.0,Mycobacterium tuberculosis,2015-12-10 05:46:25,2015-10-27 04:36:28,"ERR1227531,ERR1213843,ERR1034595",3,nan
SAMEA3558129,ERS865278,ERR1227532,,PATRIC_20191206,ITM,Phelan 2016 BMC Med,27005572.0,LJ,0.05-0.2,<10,,4-8,<1,,,,,,,,,,,,,,,,,,ILLUMINA,1773.0,Mycobacterium tuberculosis,2016-03-28 08:47:44,2016-03-28 08:27:18,"ERR1227532,ERR1213844,ERR1034596",3,nan
SAMEA3558129,ERS865278,ERR1213844,,PATRIC_20191206,ITM,Phelan 2016 BMC Med,27005572.0,LJ,0.05-0.2,<10,,4-8,<1,,,,,,,,,,,,,,,,,,ILLUMINA,1773.0,Mycobacterium tuberculosis,2016-01-20 07:13:00,2016-01-20 05:34:31,"ERR1227532,ERR1213844,ERR1034596",3,nan
SAMEA3558129,ERS865278,ERR1034596,,PATRIC_20191206,ITM,Phelan 2016 BMC Med,27005572.0,LJ,0.05-0.2,<10,,4-8,<1,,,,,,,,,,,,,,,,,,ILLUMINA,1773.0,Mycobacterium tuberculosis,2015-12-10 05:46:26,2015-10-27 04:36:28,"ERR1227532,ERR1213844,ERR1034596",3,nan
SAMEA3558130,ERS865279,ERR1034597,,PATRIC_20191206,ITM,Phelan 2016 BMC Med,27005572.0,LJ,0.2-0.8,<10,,<1,>16,,,,,,,,,,,,,,,,,,ILLUMINA,1773.0,Mycobacterium tuberculosis,2015-12-10 05:45:49,2015-10-27 04:36:28,"ERR1034597,ERR1213845,ERR1227533",3,nan
SAMEA3558130,ERS865279,ERR1213845,,PATRIC_20191206,ITM,Phelan 2016 BMC Med,27005572.0,LJ,0.2-0.8,<10,,<1,>16,,,,,,,,,,,,,,,,,,ILLUMINA,1773.0,Mycobacterium tuberculosis,2016-01-20 07:13:01,2016-01-20 05:34:31,"ERR1034597,ERR1213845,ERR1227533",3,nan
SAMEA3558130,ERS865279,ERR1227533,,PATRIC_20191206,ITM,Phelan 2016 BMC Med,27005572.0,LJ,0.2-0.8,<10,,<1,>16,,,,,,,,,,,,,,,,,,ILLUMINA,1773.0,Mycobacterium tuberculosis,2016-03-28 08:34:03,2016-03-28 08:27:18,"ERR1034597,ERR1213845,ERR1227533",3,nan
SAMEA3558131,ERS865280,ERR1213846,,PATRIC_20191206,ITM,Phelan 2016 BMC Med,27005572.0,LJ,<0.05,<10,,<1,>16,,,,,,,,,,,,,,,,,,ILLUMINA,1773.0,Mycobacterium tuberculosis,2016-01-20 07:24:43,2016-01-20 05:34:31,"ERR1213846,ERR1034598",2,nan
SAMEA3558131,ERS865280,ERR1034598,,PATRIC_20191206,ITM,Phelan 2016 BMC Med,27005572.0,LJ,<0.05,<10,,<1,>16,,,,,,,,,,,,,,,,,,ILLUMINA,1773.0,Mycobacterium tuberculosis,2015-12-10 05:45:52,2015-10-27 04:36:28,"ERR1213846,ERR1034598",2,nan
SAMEA3558132,ERS865281,ERR1213847,,PATRIC_20191206,ITM,Phelan 2016 BMC Med,27005572.0,LJ,0.05-0.2,20-30,,<1,>16,,,,,,,,,,,,,,,,,,ILLUMINA,1773.0,Mycobacterium tuberculosis,2016-01-20 07:21:11,2016-01-20 05:34:31,"ERR1213847,ERR1034599",2,nan
SAMEA3558132,ERS865281,ERR1034599,,PATRIC_20191206,ITM,Phelan 2016 BMC Med,27005572.0,LJ,0.05-0.2,20-30,,<1,>16,,,,,,,,,,,,,,,,,,ILLUMINA,1773.0,Mycobacterium tuberculosis,2015-12-10 05:46:25,2015-10-27 04:36:28,"ERR1213847,ERR1034599",2,nan
