ID,ROLLINGDB_ID,ISOLATION_LOCATION,DB_OF_ORIGIN,TESTING_LOCATION,MEDIA,RIF,INH,RFB,BDQ,EMB,STR,KAN,AMI,CAP,OFX,LEV,MXF,ETH,PAS,CYS,LIN,CFZ,AMI_PHENOTYPE_QUALITY,CYS_PHENOTYPE_QUALITY,EMB_PHENOTYPE_QUALITY,ETH_PHENOTYPE_QUALITY,INH_PHENOTYPE_QUALITY,KAN_PHENOTYPE_QUALITY,MXF_PHENOTYPE_QUALITY,OFX_PHENOTYPE_QUALITY,PAS_PHENOTYPE_QUALITY,RFB_PHENOTYPE_QUALITY,RIF_PHENOTYPE_QUALITY,STR_PHENOTYPE_QUALITY
C282,C282,,CASS,Not specified,MYCOTB,0.06,0.06,0.12,,1.0,0.5,2.5,0.2,,0.5,,0.125,1.2,1.0,16.0,,,,,,,,,,,,,,
C283,C283,,CASS,Not specified,MYCOTB,8.0,4.0,16.0,,4.0,1.0,2.5,0.4,,8.0,,1.0,10.0,0.25,8.0,,,,,,,,,,,,,,
C284,C284,,CASS,Not specified,MYCOTB,8.0,4.0,16.0,,3.0,0.5,2.5,0.4,,8.0,,1.0,10.0,0.25,16.0,,,,,,,,,,,,,,
C285,C285,,CASS,Not specified,MYCOTB,0.06,0.12,0.12,,1.0,0.5,5.0,0.4,,1.0,,0.125,1.2,0.25,16.0,,,,,,,,,,,,,,
C286,C286,,CASS,Not specified,MYCOTB,8.0,0.03,1.0,,1.0,0.25,1.2,0.2,,0.5,,0.062,0.6,0.25,16.0,,,,,,,,,,,,,,
C287,C287,,CASS,Not specified,MYCOTB,8.0,0.25,1.0,,1.0,32.0,1.2,0.2,,0.5,,0.062,5.0,0.25,32.0,,,,,,,,,,,,,,
C288,C288,,CASS,Not specified,MYCOTB,0.06,0.06,0.12,,1.0,0.5,5.0,0.4,,1.0,,0.125,0.6,0.25,16.0,,,,,,,,,,,,,,
C289,C289,,CASS,Not specified,MYCOTB,0.06,0.06,0.12,,1.0,0.25,1.2,0.2,,1.0,,0.125,0.6,0.25,16.0,,,,,,,,,,,,,,
C291,C291,,CASS,Not specified,MYCOTB,8.0,4.0,1.0,,8.0,32.0,40.0,12.8,,16.0,,2.0,5.0,16.0,32.0,,,,,,,,,,,,,,
C292,C292,,CASS,Not specified,MYCOTB,0.06,0.06,0.12,,1.0,0.25,2.5,0.2,,1.0,,0.125,1.2,0.25,16.0,,,,,,,,,,,,,,
C294,C294,,CASS,Not specified,MYCOTB,8.0,0.25,4.0,,1.0,32.0,0.6,0.2,,0.5,,0.062,2.5,0.25,16.0,,,,,,,,,,,,,,
C295,C295,,CASS,Not specified,MYCOTB,0.06,0.12,0.12,,2.0,0.25,1.2,0.2,,1.0,,0.25,1.2,0.25,16.0,,,,,,,,,,,,,,
C296,C296,,CASS,Not specified,MYCOTB,0.06,0.06,0.12,,1.0,0.25,1.2,0.2,,0.5,,0.062,2.5,0.25,16.0,,,,,,,,,,,,,,
C297,C297,,CASS,Not specified,MYCOTB,0.06,0.5,0.12,,1.0,1.0,5.0,0.4,,1.0,,0.125,1.2,0.25,16.0,,,,,,,,,,,,,,
C298,C298,,CASS,Not specified,MYCOTB,0.06,0.25,0.12,,1.0,0.25,1.2,0.2,,0.5,,0.062,10.0,0.25,16.0,,,,,,,,,,,,,,
C299,C299,,CASS,Not specified,MYCOTB,0.06,0.5,0.12,,1.0,16.0,1.2,0.2,,0.5,,0.125,10.0,0.25,8.0,,,,,,,,,,,,,,
C300,C300,,CASS,Not specified,MYCOTB,0.06,0.03,0.12,,1.0,0.5,2.5,0.2,,1.0,,0.125,0.6,0.25,16.0,,,,,,,,,,,,,,
C302,C302,,CASS,Not specified,MYCOTB,0.06,0.06,0.12,,1.0,0.25,1.2,0.2,,1.0,,0.062,2.5,0.25,16.0,,,,,,,,,,,,,,
C303,C303,,CASS,Not specified,MYCOTB,0.06,0.06,0.12,,0.5,2.0,5.0,0.2,,0.5,,0.25,1.2,0.25,32.0,,,,,,,,,,,,,,
C304,C304,,CASS,Not specified,MYCOTB,0.06,0.06,0.12,,0.5,0.25,1.2,0.2,,0.5,,0.125,1.2,0.25,8.0,,,,,,,,,,,,,,
C306,C306,,CASS,Not specified,MYCOTB,0.06,0.06,0.12,,1.0,0.5,1.2,0.2,,1.0,,0.125,0.6,0.25,8.0,,,,,,,,,,,,,,
C308,C308,,CASS,Not specified,MYCOTB,0.06,0.03,0.12,,1.0,1.0,5.0,0.4,,1.0,,0.125,1.2,1.0,16.0,,,,,,,,,,,,,,
C309,C309,,CASS,Not specified,MYCOTB,0.5,4.0,0.12,,0.5,0.5,5.0,0.4,,1.0,,0.125,2.5,0.25,16.0,,,,,,,,,,,,,,
C310,C310,,CASS,Not specified,MYCOTB,0.06,0.03,0.12,,2.0,0.5,2.5,0.2,,1.0,,0.125,5.0,0.25,16.0,,,,,,,,,,,,,,
C312,C312,,CASS,Not specified,MYCOTB,0.06,0.03,0.12,,1.0,0.5,1.2,0.2,,1.0,,0.125,1.2,0.25,16.0,,,,,,,,,,,,,,
C313,C313,,CASS,Not specified,MYCOTB,0.06,0.03,0.12,,1.0,0.5,2.5,0.4,,1.0,,0.125,1.2,0.25,16.0,,,,,,,,,,,,,,
C314,C314,,CASS,Not specified,MYCOTB,0.75,0.12,1.0,,2.0,32.0,2.5,0.4,,1.0,,0.125,5.0,0.25,16.0,,,,,,,,,,,,,,
C315,C315,,CASS,Not specified,MYCOTB,0.06,0.25,0.12,,1.0,0.5,1.2,0.4,,1.0,,0.125,2.5,1.0,16.0,,,,,,,,,,,,,,
C316,C316,,CASS,Not specified,MYCOTB,0.06,0.03,0.12,,0.5,0.25,0.6,0.096,,0.5,,0.062,0.6,0.25,8.0,,,,,,,,,,,,,,
C317,C317,,CASS,Not specified,MYCOTB,0.125,0.06,0.12,,1.0,0.5,2.5,0.4,,0.5,,0.062,0.3,0.25,32.0,,,,,,,,,,,,,,
C318,C318,,CASS,Not specified,MYCOTB,0.06,0.06,0.12,,1.0,0.5,5.0,0.4,,1.0,,0.125,0.6,0.25,16.0,,,,,,,,,,,,,,
C319,C319,,CASS,Not specified,MYCOTB,0.06,4.0,0.12,,1.0,2.0,2.5,0.4,,1.0,,0.125,2.5,0.25,16.0,,,,,,,,,,,,,,
C320,C320,,CASS,Not specified,MYCOTB,0.06,0.03,0.12,,1.5,1.0,1.2,0.096,,1.0,,0.125,1.2,0.25,16.0,,,,,,,,,,,,,,
C321,C321,,CASS,Not specified,MYCOTB,0.06,0.12,0.12,,0.5,0.25,0.6,0.096,,0.5,,0.03,1.2,0.25,8.0,,,,,,,,,,,,,,
C322,C322,,CASS,Not specified,MYCOTB,0.06,0.03,0.12,,1.0,0.25,1.2,0.096,,0.5,,0.062,1.2,0.25,8.0,,,,,,,,,,,,,,
C323,C323,,CASS,Not specified,MYCOTB,0.06,0.03,0.12,,1.0,0.5,2.5,0.2,,1.0,,0.125,0.6,0.25,16.0,,,,,,,,,,,,,,
