ROLLINGDB_ID,DB_OF_ORIGIN,Coll2014,Freschi2020,Lipworth2019,Shitikov2017,Stucki2016,F2,Lineage
SAMN37124284,MICML,2.2.2,2.2.2,"beijing,mungi","asia_ancestral_1,lin2.2",,0.0101717305151915,2
SAMN37124285,MICML,2.2.2,2.2.2,"beijing,mungi","asia_ancestral_1,lin2.2",,0.0104132769280833,2
SAMN37124286,MICML,2.2.2,2.2.2,beijing,"asia_ancestral_1,lin2.2",,0.0078061911170928,2
SAMN37124287,MICML,2.2.2,2.2.2,"beijing,ethiopian,mungi","asia_ancestral_1,lin2.2",,0.0158814751652099,2
SAMN37124288,MICML,2.2.2,2.2.2,"beijing,ethiopian,mungi","asia_ancestral_1,lin2.2",,0.0199904046057892,2
SAMN37124290,MICML,2.2.2,2.2.2,"beijing,mungi","asia_ancestral_1,lin2.2",,0.0156697465823742,2
SAMN37124289,MICML,2.2.2,2.2.2,"beijing,canetti,ethiopian,mungi","asia_ancestral_1,lin2.2",,0.0182421227197346,2
SAMN37124291,MICML,2.2.2,2.2.2,"beijing,ethiopian,mungi","asia_ancestral_1,lin2.2",,0.014959327174962,2
SAMN37124293,MICML,2.2.1,2.2.1.1.1,beijing,"lin2.2.1,asian_african_2",,0.0225372160607318,2
SAMN37124294,MICML,2.2.1.1,2.2.1.1.1,beijing,"lin2.2.1,pacific_RD150",,0.0126582278481012,2
SAMN37124295,MICML,2.2.1.1,2.2.1.1.1,"beijing,mungi","lin2.2.1,pacific_RD150",,0.0100163309744148,2
SAMN37124296,MICML,2.2.2,2.2.2,beijing,"asia_ancestral_1,lin2.2",,0.009820545428854,2
SAMN37124297,MICML,2.2.2,2.2.2,beijing,"asia_ancestral_1,lin2.2",,0.0102773047920214,2
JPN-R2012-0001,MICML,2.2.1,2.2.1.1.1,"beijing,mungi","lin2.2.1,asia_ancestral_3",,0.0172529688550302,2
JPN-R2012-0002,MICML,2.2.1,2.2.1.1.1,"beijing,mungi","lin2.2.1,asia_ancestral_3",,0.012230162823252,2
JPN-R2012-0003,MICML,2.2.1,2.2.1.1.1,"beijing,mungi",lin2.2.1,,0.0116296332953926,2
JPN-R2012-0004,MICML,2.2.2,2.2.2,"beijing,ethiopian,mungi","asia_ancestral_1,lin2.2",,0.0130048215154598,2
JPN-R2012-0005,MICML,4.1.1.3,4.1.i1.2.1,"xtype,beijing",,4,0.1026354558847602,4
JPN-R2012-0006,MICML,1.2.1,1.2.1.1.1,"indo_oceanic,canetti,mungi",,,0.0183578947368421,1
JPN-R2012-0007,MICML,2.2.1,2.2.1.1.1,"beijing,mungi","asian_african_1,lin2.2.1",,0.0146576241522642,2
JPN-R2012-0008,MICML,2.2.1,2.2.1.1.2,"beijing,mungi","lin2.2.1,asia_ancestral_2",,0.0162330905306971,2
JPN-R2012-0009,MICML,2.2.2,2.2.2,"beijing,canetti,ethiopian,mungi","asia_ancestral_1,lin2.2",,0.1569294178258629,2
JPN-R2012-0010,MICML,4.5,4.2.1.1.2,,,4.5,0.015989113794863,4
JPN-R2012-0011,MICML,2.2.1,2.2.1.1.1,"beijing,mungi","lin2.2.1,asia_ancestral_3",,0.0146627565982404,2
JPN-R2012-0012,MICML,2.2.1,2.2.1.1.1,"beijing,mungi","lin2.2.1,asia_ancestral_3",,0.0154309371471584,2
JPN-R2012-0013,MICML,4.4.2,4.2.1.2.2.2,"stype,ethiopian",,4,0.0419871983087674,4
JPN-R2012-0014,MICML,2.2.1,2.2.1.1.1,"beijing,mungi",lin2.2.1,,0.0123685588815922,2
JPN-R2012-0015,MICML,2.2.1,2.2.1.1.1,"beijing,mungi",lin2.2.1,,0.0125936553483181,2
JPN-R2012-0016,MICML,2.2.1,2.2.1.1.2,"beijing,mungi","lin2.2.1,asia_ancestral_2",,0.0169719827586206,2
JPN-R2012-0017,MICML,2.2.1,2.2.1.1.1,"beijing,mungi",lin2.2.1,,0.013611615245009,2
JPN-R2012-0018,MICML,2.2.1.1,2.2.1.1.1,"beijing,mungi","lin2.2.1,pacific_RD150",,0.0154059856042429,2
JPN-R2012-0019,MICML,2.2.1,2.2.1.1.1,"beijing,mungi","lin2.2.1,asia_ancestral_3",,0.0137381112498799,2
JPN-R2012-0020,MICML,2.2.1,2.2.1.1.1,"beijing,mungi","lin2.2.1,asia_ancestral_3",,0.0136706697678834,2
JPN-R2012-0021,MICML,2.2.1,2.2.1.1.2,"beijing,mungi","lin2.2.1,asia_ancestral_2",,0.0126797955382969,2
JPN-R2012-0022,MICML,2.2.1,2.2.1,"beijing,ethiopian,mungi",lin2.2.1,,0.0102866389274156,2
JPN-R2012-0023,MICML,2.2.1,2.2.1.1.1,"beijing,canetti,ethiopian,mungi","lin2.2.1,asian_african_3",,0.0156811499509964,2
JPN-R2012-0024,MICML,2.2.1,2.2.1.1.2,"beijing,mungi","lin2.2.1,asia_ancestral_2",,0.0132912225292801,2
JPN-R2012-0025,MICML,4.5,4.2.1.1.2,,,4.5,0.0073338699579644,4
JPN-R2012-0026,MICML,2.2.2,2.2.2,"beijing,ethiopian,mungi","asia_ancestral_1,lin2.2",,0.0102930491644465,2
JPN-R2012-0027,MICML,2.2.1,2.2.1.1.1,"beijing,mungi","lin2.2.1,asia_ancestral_3",,0.012539184952978,2
JPN-R2012-0028,MICML,2.2.1,2.2.1.1.1,"beijing,stype,mungi","lin2.2.1,asia_ancestral_3",,0.0188473520249221,2
JPN-R2012-0029,MICML,2,2.1,"beijing,canetti,mungi","lin2,proto_beijing",,0.0826061132178919,2
JPN-R2012-0030,MICML,2.2.1,2.2.1.1.2,"beijing,east_african_indian,mungi","lin2.2.1,asia_ancestral_2",,0.0621757022723206,2
JPN-R2012-0031,MICML,2.2.1,2.2.1.1.2,"beijing,mungi","lin2.2.1,asia_ancestral_2",,0.0104152005629838,2
JPN-R2012-0032,MICML,2.2.1,2.2.1.1.2,"beijing,canetti,mungi","lin2.2.1,asia_ancestral_2",,0.0133976948083932,2
JPN-R2012-0033,MICML,2.2.1,2.2.1.1.1,"beijing,mungi","lin2.2.1,asian_african_3",,0.0160015423173317,2
JPN-R2012-0034,MICML,2.2.1,2.2.1.1.1,"beijing,mungi","lin2.2.1,asia_ancestral_3",,0.0102467978756638,2
JPN-R2012-0035,MICML,4.3.4.1,4.2.1.2.1.1.i3.2,"lam,ghana",,4.3/LAM,0.0164699423552017,4
