pid,Original_ID,SampleID,F2,Coll2014,Freschi2020,Lineage
T0444,S0444-01,MFS-707,0.31385697346363,"4.3.4.2.1,4.1.1.1","4.1.i1.2,4.2.1.2.1.1.i3.1",4.0
T0445,S0445-01,MFS-824,,,,
T0445,S0445-08,MFS-825,0.0112341896456909,2.2.1.1,2.2.1.1.1,2.0
T0446,S0446-04,MFS-826,0.0118928392588883,2.2.1.1,2.2.1.1.1,2.0
T0446,S0446-01,MFS-708,0.0114882506527415,2.2.1.1,2.2.1.1.1,2.0
T0447,S0447-04,MFS-827,,,,
T0447,S0447-01,MFS-709,0.008633382411993,2.2.1.1,2.2.1.1.1,2.0
T0449,S0449-08,MFS-828,,,,
T0449,S0449-01,MFS-711,0.0095837897042716,3,3.1.1,3.0
T0450,S0450-05,MFS-829,,,,
T0450,S0450-01,MFS-712,,,,
T0451,S0451-05,MFS-830,,,,
T0451,S0451-01,MFS-713,0.0101386099818778,2.2.1.1,2.2.1.1.1,2.0
T0452,S0452-04,MFS-831,0.0084115173083144,4.3.3,4.2.1.2.1.1.i4.1,4.0
T0452,S0452-01,MFS-714,0.0056935174053038,4.3.3,4.2.1.2.1.1.i4.1,4.0
T0453,S0453-05,MFS-832,0.0106469276008923,2.2.1.1,2.2.1.1.1,2.0
T0453,S0453-01,MFS-715,0.0094208371427435,2.2.1.1,2.2.1.1.1,2.0
T0455,S0455-08,MFS-833,0.0229819214994386,4.1.1.2,4.1.i1.2.1,4.0
T0455,S0455-01,MFS-716,0.0198558584792341,4.1.1.2,4.1.i1.2.1,4.0
T0456,S0456-08,MFS-834,0.0068522193388625,4.1.1.1,4.1.i1.2.1,4.0
T0456,S0456-01,MFS-717,0.0066636751177922,4.1.1.1,4.1.i1.2.1,4.0
T0457,S0457-01,MFS-835,0.0484495037290416,2.2.1.1,2.2.1.1.1,2.0
T0457,S0457-06,MFS-836,0.0128474427238532,2.2.1.1,2.2.1.1.1,2.0
T0458,S0458-01,MFS-837,0.010113622175053,2.2.1.1,2.2.1.1.1,2.0
T0458,S0458-08,MFS-838,,,,
T0459,S0459-01,MFS-839,0.0071780224735991,4.1.1.1,4.1.i1.2.1,4.0
T0459,S0459-06,MFS-840,0.0091901206203331,4.1.1.1,4.1.i1.2.1,4.0
T0459,S0459-08,MFS-841,0.0092984192687243,4.1.1.1,4.1.i1.2.1,4.0
T0461,S0461-01,MFS-842,0.0115258902460003,2.2.1.1,2.2.1.1.1,2.0
T0461,S0461-08,MFS-843,0.0128836132020845,2.2.1.1,2.2.1.1.1,2.0
T0462,S0462-01,MFS-844,,,,
T0462,S0462-08,MFS-845,0.0188627995412567,4.1.1.3,4.1.i1.2.1,4.0
T0464,S0464-01,MFS-846,0.0119514413877474,2.2.1,2.2.1.1.1,2.0
T0464,S0464-04,MFS-847,0.0106970543423057,2.2.1,2.2.1.1.1,2.0
T0465,S0465-01,MFS-848,0.0229862035651589,3,3.1.1,3.0
T0465,S0465-05,MFS-849,0.011377736650613,3,3.1.1,3.0
T0466,S0466-01,MFS-850,0.0071727435744172,4.4.1.1,4.2.1.2.2.1.1,4.0
T0466,S0466-06,MFS-851,0.007957351730626,4.4.1.1,4.2.1.2.2.1.1,4.0
T0467,S0467-01,MFS-852,0.0118520634013994,3,3.1.1,3.0
T0467,S0467-04,MFS-853,0.0118034932299793,3,3.1.1,3.0
T0468,S0468-01,MFS-854,0.0188216581615746,4.1.1.3,4.1.i1.2.1,4.0
T0468,S0468-05,MFS-855,0.0195596350325083,4.1.1.3,4.1.i1.2.1,4.0
T0469,S0469-01,MFS-856,0.0113193812556869,2.2.1.1,2.2.1.1.1,2.0
T0469,S0469-07,MFS-857,0.0118063374617982,2.2.1.1,2.2.1.1.1,2.0
T0470,S0470-01,MFS-858,0.0118579753354113,2.2.1,2.2.1.1.1,2.0
T0470,S0470-08,MFS-859,0.0119661708253358,2.2.1,2.2.1.1.1,2.0
