Drug,Model,Num_Loci,Binned_MAE,Binned_MSE,MAE,MSE,Within_doubling,Spearman,Spearman_pval,Sensitivity,Specificity,Precision,Accuracy,Balanced_Acc,F1,CV,Addl_Data,Binned_MAE_exp,Binned_MSE_exp,Without_doubling
Ethambutol,LinReg,2,0.3462756051720189,0.4474536572832785,0.6910644196401499,0.8567533160664208,0.8893340010015023,0.7764717647699797,0.0,0.8269581056466302,0.8832872928176796,0.7287319422150883,0.8678017025538307,0.8551226992321549,0.7747440273037542,0,– Lineage,1.2712745239724692,1.3636313354728626,0.11066599899849772
Ethambutol,LinReg,2,0.3490821614276481,0.4385775994838557,0.6872385344597937,0.84258602694261,0.8863294942413621,0.7732360033052174,0.0,0.7395264116575592,0.9095303867403316,0.7560521415270018,0.8627941912869304,0.8245283991989454,0.7476979742173112,1,– Lineage,1.2737500132757211,1.3552674657352006,0.11367050575863791
Ethambutol,LinReg,2,0.3664746184947453,0.454201855985812,0.7050720443505364,0.8737035168921722,0.8793189784677016,0.7710250315340783,0.0,0.7468123861566485,0.9171270718232044,0.7735849056603774,0.8703054581872809,0.8319697289899264,0.7599629286376275,2,– Lineage,1.2891986819190724,1.370024654798872,0.12068102153229843
Ethambutol,LinReg,2,0.3525092376093999,0.483982432468686,0.690184240678122,0.8837750031571887,0.8963445167751627,0.7735994525430447,0.0,0.7814207650273224,0.8943370165745856,0.7371134020618557,0.8632949424136205,0.837878890800954,0.7586206896551725,3,– Lineage,1.2767793625549373,1.3985990520552334,0.10365548322483731
Ethambutol,LinReg,2,0.3378783371729162,0.4458517949638697,0.6796983839605633,0.8389589146497965,0.8883324987481221,0.7781577565213502,0.0,0.761384335154827,0.9019337016574586,0.7464285714285714,0.8632949424136205,0.8316590184061428,0.7538322813345355,4,– Lineage,1.26389650925552,1.3621180999170517,0.11166750125187785
Ethambutol,LinReg,2,0.3423970270056067,0.433232884558237,0.680457437332348,0.8395829565644597,0.8983475212819229,0.7856624794866268,0.0,0.819672131147541,0.893646408839779,0.7450331125827815,0.8733099649474211,0.8566592699936599,0.7805724197745012,0,+ Lineage,1.2678613871363238,1.350255930265831,0.10165247871807714
Ethambutol,LinReg,2,0.3447456353211081,0.4240969148207515,0.6762561246290244,0.8247884591977168,0.8988482724086129,0.7815577533257196,0.0,0.7632058287795993,0.9040055248618784,0.7508960573476703,0.8652979469203805,0.8336056768207389,0.7570009033423669,1,+ Lineage,1.2699270592163043,1.341732354382568,0.10115172759138713
Ethambutol,LinReg,2,0.3564682870093782,0.4405454125084993,0.6975561912739118,0.857953420342835,0.8883324987481221,0.7784303004781299,0.0,0.7431693989071039,0.9219613259668508,0.783109404990403,0.8728092138207311,0.8325653624369773,0.7626168224299066,2,+ Lineage,1.2802879173916752,1.357117290220567,0.11166750125187785
Ethambutol,LinReg,2,0.3523793533621166,0.4755863688961192,0.6822437737182121,0.8715406091726959,0.8923385077616425,0.7790199238165881,0.0,0.7832422586520947,0.9019337016574586,0.7517482517482518,0.8693039559339009,0.8425879801547767,0.7671721677074042,3,+ Lineage,1.276664420687757,1.3904832529483357,0.10766149223835753
Ethambutol,LinReg,2,0.3381260212524524,0.4345839086674366,0.671208054099997,0.8245011425168571,0.8988482724086129,0.7866455686572303,0.0,0.7941712204007286,0.8970994475138122,0.7452991452991453,0.8688032048072108,0.8456353339572704,0.7689594356261023,4,+ Lineage,1.2641135155585745,1.351520981220777,0.10115172759138713
