covariate,coef_pooled,V_w,V_b,V_t,se_pooled,riv,wald_stat,dof_old,lambda,dof_observed,dof_adj,pval,t_critical,coef_lower,coef_upper,OR,OR_lower,OR_upper,MIC_type,include_drugs,num_pids
HIV_High_CD4,0.2680702100914179,0.20012018056211553,0.0033745293819467683,0.20360719425679386,0.451228538832368,0.017424597983490175,0.5940896619373766,98872.82214815854,0.01712618116175418,373.50736867259326,372.1016969955458,0.552453504248618,1.959987977986643,-0.6163323013445026,1.1524727215273383,1.3074389321994826,0.5399210783306416,3.166011904399308,predicted,"RIF,INH,EMB,PZA",316
HIV_Low_CD4,0.9316092111993,0.3035475500628471,0.005681141402800328,0.3094180628457408,0.556253595804774,0.019339680987964583,1.674792249839699,80563.30003155462,0.018972753978556172,372.8056422244503,371.08843522866806,0.09397888123563422,1.9599934310282725,-0.15864418256391288,2.0218626049625126,2.538591021564854,0.8532999239502255,7.552378939559831,predicted,"RIF,INH,EMB,PZA",316
INH_pred_MIC,-0.574223119442905,0.2585462947422087,5.538720576131344e-06,0.258552018086804,0.5084801058908834,2.2136633599960712e-05,-1.129293187266071,59182604244.340416,2.2136143580260958e-05,380.0071723360451,380.00716989604683,0.25877417389147,1.9599639845801378,-1.5708258138645315,0.42237957497872125,0.5631421931313015,0.20787344668159183,1.525587489634939,predicted,"RIF,INH,EMB,PZA",316
PZA_pred_MIC,-0.17053223533209735,0.49060058045550353,0.0002967547797423337,0.4909072270612373,0.7006477196574876,0.000625043299885694,-0.24339226482527085,74322536.97292271,0.0006246528647977976,379.7782065921114,379.7762659862727,0.8077015361238568,1.959964016458653,-1.543776554074583,1.2027120834103884,0.8432159078456897,0.2135730064724618,3.3291335781973417,predicted,"RIF,INH,EMB,PZA",316
RIF_pred_MIC,2.5473051415216177,2.85832276016074,0.0009325942321386745,2.859286440867283,1.6909424711879713,0.00033714901619056616,1.5064410439297848,255297756.88613212,0.0003370353850420778,379.88750571676894,379.8869404383896,0.1319539922406333,1.959963993832228,-0.7668812176484954,5.861491500691731,12.772636912977749,0.4644593594585302,351.2476396233069,predicted,"RIF,INH,EMB,PZA",316
bl_prevtb,0.5191526463207045,0.1226007642758034,3.158954551896172e-05,0.12263340680617299,0.3501905292925167,0.0002662506270854964,1.4824862550381894,409305849.0561146,0.00026617975655839526,379.9144319598363,379.9140793266111,0.1382109589706833,1.9599639903358939,-0.16720818084929534,1.2055134734907043,1.680602981065585,0.8460234671189893,3.3384728553508176,predicted,"RIF,INH,EMB,PZA",316
diabetes,1.216682234028962,0.3500404443335298,3.843758915747907e-05,0.35008016317565926,0.5916757246800474,0.00011346929411262445,2.0563328581494384,2252889257.628711,0.00011345642029270126,379.9724692077212,379.9724051215471,0.039750443306095125,1.9599639855930444,0.05701912250640362,2.3763453455515204,3.375968459176107,1.0586760547415743,10.765486747628364,predicted,"RIF,INH,EMB,PZA",316
intercept,-2.014862540160872,0.03656676504497772,1.9545860216670048e-05,0.036586962433868275,0.19127718743715436,0.000552342786290117,-10.533731529395638,95161274.84047946,0.0005520378721536741,379.80580142097847,379.80428555361226,6.039393881427433e-26,1.95996400946901,-2.3897589433701523,-1.6399661369515917,0.1333387308267646,0.09165177448273083,0.19398661115767454,predicted,"RIF,INH,EMB,PZA",316
total_adherence,-1.5762074657766907,1.019884969365297,1.543724010221183e-05,1.0199009211800691,1.0099014413199285,1.5640797983534183e-05,-1.5607537540659486,118547873972.6637,1.564055335279884e-05,380.0096407615615,380.0096395434264,0.11858186280850609,1.959963984560065,-3.5555779187190506,0.403162987165669,0.20675774899082772,0.028564861976728917,1.4965507903584645,predicted,"RIF,INH,EMB,PZA",316
EMB_pred_MIC,-0.8557714496053052,0.5854348729775666,0.00022936106600009471,0.5856718794124334,0.7652920223107211,0.0004048382592265672,-1.11822862993056,177086912.97370663,0.0004046744315341514,380.86135679276015,380.8605376748553,0.26346936110620234,1.9599639979361383,-2.3557162612420584,0.6441733620314481,0.4249552330501829,0.09482556232957448,1.904412119055932,predicted,"RIF,INH,EMB",316
