covariate,coef_pooled,V_w,V_b,V_t,se_pooled,riv,wald_stat,dof_old,lambda,dof_observed,dof_adj,pval,t_critical,coef_lower,coef_upper,HR_TCC_assoc,HR_TCC_assoc_lower,HR_TCC_assoc_upper,exclude_resistance,MIC_type,binarize_MICs,include_drugs,num_pids,significant
EMB_pred_MIC,0.5456722391879262,0.44815447629301314,0.0709772985205747,0.5214976847642737,0.7221479659766922,0.16365608813713411,0.7556238678176075,1466.165371314686,0.14063956679771833,324.85170631599567,265.9306427401996,0.44999611575330345,1.9615833090412829,-0.8708811575300653,1.9622256359059178,0.5794521219577881,0.1405452699710563,2.38901502491354,0,predicted,False,"RIF,INH,EMB,PZA",374,
INH_pred_MIC,-0.180411534249889,0.028010645245534246,0.004579930226825387,0.03274323981325381,0.18095093205964377,0.1689569992492082,-0.9970190934989107,1388.1701259334213,0.14453653928906285,323.37858966509003,262.27970810785996,0.3189289996938199,1.9616743698624948,-0.5353783398740218,0.1745552713742438,1.1977101604658342,0.8398304343641383,1.7080943602254735,0,predicted,False,"RIF,INH,EMB,PZA",374,
PZA_pred_MIC,0.4265260709023771,0.15674901871866084,0.0435528916487697,0.20175367342238953,0.44916998277087655,0.2871128321671014,0.9495872103277876,582.8087074806836,0.22306733721525546,293.69271780150217,195.28396454492506,0.34271563477097244,1.9640427185345786,-0.45566296314306515,1.3087151049478194,0.652772846976541,0.27016696966596576,1.5772186743505459,0,predicted,False,"RIF,INH,EMB,PZA",374,
RIF_AUC,0.5348626577173472,0.07521362595018731,0.022686499169467026,0.09865634175863656,0.31409607090607894,0.31168176659871405,1.7028632551003222,513.6084585635092,0.23761995823646118,288.19159907708917,184.6066753954819,0.089198671866863,1.964593535163323,-0.08220845260493614,1.1519337680396307,0.5857497328259462,0.3160250589579092,1.085682099505168,0,predicted,False,"RIF,INH,EMB,PZA",374,
RIF_pred_MIC,0.058371870335600505,1.11871021374106,0.5340256498337573,1.6705367185692759,1.2924924442987185,0.4932702839843235,0.04516225266390007,265.7693762717644,0.33032886897620867,253.1461784585496,129.6521203521734,0.9640118961811319,1.9689301327016329,-2.486455449533333,2.6031991902045344,0.9432990972535866,0.07403634259373025,12.01859999706124,0,predicted,False,"RIF,INH,EMB,PZA",374,
cxr_cavity_chest_radiograph_1,-0.4115166268591294,0.02557553724190846,0.015651515667816526,0.04174877009865221,0.20432515777224353,0.6323711875049898,-2.0140281859849942,193.2376248610418,0.38739423505234877,231.5745761073654,105.33812579577436,0.045393307473106465,1.9723163732659679,-0.8145104810034773,-0.008522772714781357,1.5091047992727464,1.0085591949414103,2.2580700335792736,0,predicted,False,"RIF,INH,EMB,PZA",374,1.0
diabetes,0.35338554498016406,0.06121448410741701,0.02251949794741821,0.08448463198641583,0.2906624020860211,0.3801412070738877,1.2157937952896298,382.25673393870903,0.2754364590561322,273.8963693416532,159.56448435400426,0.22481377497651134,1.9661893098679022,-0.21811176278189648,0.9248828527422246,0.7023063704777166,0.3965778743643611,1.243726062136332,0,predicted,False,"RIF,INH,EMB,PZA",374,
predicted_label,-0.46913830464427314,0.031604445658271696,0.0065608304442803834,0.038383970450694756,0.19591827492782482,0.2145117451426865,-2.3945612261903646,929.6067829901025,0.17662385398955915,311.24908203496506,233.17716909312523,0.016837436501301175,1.9625191621289335,-0.853631673401374,-0.08464493588717231,1.5986160794942452,1.088330570958435,2.3481591327228757,0,predicted,False,"RIF,INH,EMB,PZA",374,1.0
screen_sex,0.2278696830095788,0.026190567737163332,0.010252769285839862,0.03678509599919786,0.1917944107611008,0.4045169378669607,1.1880934491538098,349.6057265478811,0.2880114343663953,269.14283167737153,152.0712637838052,0.23560308546659087,1.966772698969733,-0.149346327890341,0.6050856939094986,0.7962280151133877,0.5460276333921903,1.161075032252155,0,predicted,False,"RIF,INH,EMB,PZA",374,
screen_years,-1.1307517746481353,0.0640518765870591,0.022862983468007757,0.08767695950400045,0.2961029542304508,0.36884294693271347,-3.818779105351629,399.4130740342612,0.2694560013325211,276.15707604981094,163.27060431495045,0.0001554272395780663,1.9659211102488936,-1.7128668231768405,-0.54863672611943,3.0979846111986347,1.7308917292070027,5.544834774628333,0,predicted,False,"RIF,INH,EMB,PZA",374,1.0
smear_pos_no_contam_sputum_specimen_1,-0.43807180179013216,0.027821072021241393,0.008578339504048894,0.03668535617542525,0.1915342167223007,0.31861763441092333,-2.2871725443463626,496.702263446637,0.2416300420199233,286.6757245857846,181.76727384771854,0.022605447554256683,1.9647514885514472,-0.814388939203808,-0.06175466437645638,1.5497161758204465,1.0637013488798617,2.2577956003615047,0,predicted,False,"RIF,INH,EMB,PZA",374,1.0
EMB_pred_MIC,0.500953803905562,0.4443293675215402,0.07282431014036471,0.5195811546665837,0.7208197796027684,0.16936037238500895,0.6949778822407303,1382.5191082893402,0.1448316330743996,324.1221730705358,262.565486130292,0.48718594553844863,1.9616813670456228,-0.9130649267391214,1.9149725345502455,0.6059524242060358,0.1473458794514358,2.49194848046084,0,predicted,False,"RIF,INH,EMB",374,
INH_pred_MIC,-0.21693209016647863,0.029246462545849818,0.004495230377638329,0.033891533936076086,0.18409653428589057,0.15882506757677697,-1.1783605324671482,1543.8164450246043,0.13705698299131258,327.0688869309333,269.8905794360398,0.23883449925720845,1.9615017972581679,-0.5780377730372529,0.14417359270429564,1.242259737621234,0.8657374493091636,1.7825372541596982,0,predicted,False,"RIF,INH,EMB",374,
RIF_AUC,0.5413878019362408,0.07557127686198602,0.023406457708624685,0.09975794982756486,0.31584481921912994,0.3200511354300706,1.7140942924906153,493.3336771809661,0.24245358898600422,287.1219264369765,181.49259882536128,0.08713952386337932,1.9647842575765009,-0.07917912670260152,1.1619547305750832,0.5819400741463708,0.3128739983808225,1.0823981911251122,0,predicted,False,"RIF,INH,EMB",374,
