covariate,coef,exp(coef),se(coef),coef_transformed,se_transformed,imp_num,pval,OR,OR_lower,OR_upper,exclude_resistance,MIC_type,tb_deaths_only,include_drugs,num_pids,significant
screen_years,0.06504599229416576,1.067208106604657,0.1998980313873313,0.005099143785081553,0.015670585818554322,1,0.744881486687687,1.005112166544317,0.9747106316986698,1.0364619349383768,0,measured,False,RIF,372,
F2,-0.010123444138375192,0.9899276254435971,0.1852969649614071,-0.018268453698187016,0.33438116302534887,1,0.9564303531405361,0.9818974029846724,0.5098475648783016,1.8910015000624272,0,measured,False,INH,372,
TTP_baseline,-0.04617020960212847,0.954879418711937,0.23847917120441992,-0.12815251925087168,0.6619356256354842,1,0.8464869899312576,0.8797191947994878,0.24038282901932087,3.219472309465398,0,measured,False,INH,372,
INH_midpoint,-0.07912235088858623,0.9239268742552784,0.18326849707187534,-0.20883614473318204,0.48372028825872493,1,0.6659382848205815,0.8115281979192297,0.3144561977702709,2.094339436423393,0,measured,False,INH,372,
high_lung_involvement,-0.05574040434776545,0.9457846256017433,0.21121393276742734,-0.11156329184166235,0.4227404142126999,1,0.7918531540519744,0.8944347791873195,0.3905812446317891,2.048264183739959,0,measured,False,INH,372,
HIV_Low_CD4,0.3145237015433115,1.369606813965915,0.14808119498152733,1.0758775126750921,0.5065348873516998,1,0.03367057081598889,2.932565134860905,1.0866367509736514,7.91427150102922,0,measured,False,INH,372,1.0
HIV_High_CD4,0.06811219219543181,1.07048540184929,0.19503200122601014,0.1825183741111554,0.5226219068280652,1,0.7269121560765994,1.2002362040243997,0.43093339326750907,3.342899315664414,0,measured,False,INH,372,
bl_bmi,-0.30815727518313996,0.7347997431566029,0.22818293399139114,-0.09243868324452047,0.06844858666568834,1,0.17686095988208106,0.9117051120500327,0.797243243486383,1.0426005088525527,0,measured,False,INH,372,
diabetes,0.2476895646946062,1.281062183529429,0.14517021609361588,1.1527317390166547,0.6756131040778623,1,0.08797066670127365,3.1668320630670657,0.8424460853448492,11.904412033162192,0,measured,False,INH,372,
fstrom1_baseline,0.08273025221834648,1.0862487558326452,0.19571251038296458,0.17635721308896324,0.41720304208295655,1,0.6725045584233746,1.192864089220315,0.5265833114077212,2.7021834997913072,0,measured,False,INH,372,
screen_sex,0.048916914694030506,1.0501330964856748,0.20160730167164562,0.09980737077628436,0.41134840238817616,1,0.8082884455059758,1.1049580503625551,0.49340710100678714,2.47449274761091,0,measured,False,INH,372,
Lineage_2,0.07664199036071002,1.0796554801251372,0.18593782001997508,0.15308002763117273,0.3713808382634247,1,0.6801990612190782,1.1654182408720648,0.5628100819929652,2.4132468831187617,0,measured,False,INH,372,
smear_pos_no_contam_sputum_specimen_1,0.028005041459577554,1.0284008690497668,0.23845072168972273,0.06391524928965277,0.5442104894611408,1,0.9065067731151694,1.066002050502008,0.36688100885147623,3.097354031030035,0,measured,False,INH,372,
INH_AUC,-0.017838168091659952,0.9823199902143442,0.207490064253541,-0.002703565666692437,0.03144734431322875,1,0.931489318102113,0.9973000856756755,0.9376868560009973,1.0607032129366347,0,measured,False,INH,372,
screen_years,0.0347945015883363,1.0354069124597811,0.2021062042547896,0.002727641785012618,0.015843690887081284,1,0.8633121425140895,1.0027313651844634,0.9720719819730421,1.0343577526880943,0,measured,False,INH,372,
F2,-0.00710258550576531,0.9929225782435293,0.18659187404954683,-0.012800170120961758,0.33627299933025107,1,0.969636003079096,0.9872814036330144,0.510745866773825,1.9084335936314383,0,measured,False,EMB,371,
TTP_baseline,-0.04726998572476556,0.9538298423825222,0.2381366414728287,-0.131101615644036,0.6604634624371305,1,0.8426543368147594,0.8771286398707465,0.2403675148264874,3.2007430431557062,0,measured,False,EMB,371,
screen_sex,0.0006654507897286754,1.0006656722512266,0.20220385962636686,0.001357126942385774,0.41237655734877315,1,0.9973741749852992,1.0013580482558873,0.4462454805628494,2.247009738994133,0,measured,False,EMB,371,
high_lung_involvement,-0.09520331374905508,0.9091880652415001,0.21312589200780427,-0.19051630274642845,0.42649730735096875,1,0.655091757097396,0.8265322828729953,0.35828172358801363,1.9067554096529982,0,measured,False,EMB,371,
EMB_midpoint,0.0676522591886385,1.0699931634867015,0.19994804242130138,0.16670862330563477,0.4927117480551153,1,0.7351000551932733,1.1814099798178037,0.4497836193985555,3.1031133198657916,0,measured,False,EMB,371,
HIV_Low_CD4,0.3158457768129878,1.371418734747749,0.1489806642302437,1.0790938819728992,0.5089956399774916,1,0.03400221401070929,2.9420125323396213,1.0848923433266426,7.97815358702129,0,measured,False,EMB,371,1.0
HIV_High_CD4,0.10969037994465054,1.1159325018811521,0.19724686855579546,0.2936170515007544,0.5279865380385527,1,0.5781376559607563,1.3412701679081973,0.47653336022326764,3.775193540443013,0,measured,False,EMB,371,
bl_bmi,-0.28960645523235207,0.7485581007425988,0.2358220772108176,-0.08675738890241333,0.07064520591552177,1,0.21941999626564923,0.9168995186495115,0.7983410050565312,1.0530646953806098,0,measured,False,EMB,371,
diabetes,0.25716775820279086,1.2932620638819283,0.14552121594383507,1.1953104893055246,0.6763796404718697,1,0.0771916733936993,3.3045836491135225,0.8777712576403546,12.440909859983998,0,measured,False,EMB,371,
